index,disease_name,description,Possible Steps,image_url
20,甜椒:健康,保持甜椒充分浇水，但绝不要让土壤过于潮湿。浇水以使土壤约6英寸深湿润，然后稍微让其干燥。在果实形成期间，浇水尤其重要，此时小甜椒取代了花朵，并且在甜椒成熟时也需要浇水。持续的湿度有助于保持甜椒的坚实和健康。,红色、橙色和黄色甜椒富含健康益处？它们富含维生素且热量低！它们是维生素A、维生素C和钾的极好来源。甜椒还含有丰富的纤维、叶酸和铁。,https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/20.jpg
21,土豆:早疫病,在大多数生产地区，早疫病每年都会在某种程度上发生。早疫病的严重程度取决于雨水、露水或灌溉造成的叶面湿度频率；叶片的营养状况；以及品种的易感性。早疫病的首个症状表现为老叶（下部叶片）上出现小的、圆形或不规则的深棕色至黑色斑点。这些斑点可扩大至3/8英寸直径，并逐渐可能变成角形。年轻、完全展开的叶片上的初始病斑可能与褐斑病病斑混淆。这些初始病斑在感染后约两到三天出现，随后在这些病斑表面进一步孢子形成发生在三到五天后。,早期枯萎病的治疗包括通过种植对该病害具有抗性的土豆品种来进行预防；晚熟品种比早熟品种更具抗性。避免顶部灌溉，并在植物之间留出足够的通风空间，以便叶片尽快干燥。,https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/21.jpg
22,土豆:晚疫病,主要宿主是土豆，但晚疫病菌（P. infestans）也可以感染其他茄科植物，包括番茄、矮牵牛和毛夜shade，这些植物可以作为土豆的病原源。田间晚疫病的首个症状是小的、浅绿色到深绿色、圆形到不规则形状的水浸斑点。这些病斑通常首先出现在下部叶片上。病斑通常在叶尖或边缘附近开始发展，那里露水保留时间最长。在凉爽潮湿的天气中，这些病斑迅速扩展成大而深棕色或黑色的病斑，通常呈现油腻的外观。叶片病斑通常被黄色的氯osis光环包围。,严重的晚疫病可以通过在0.25%的浓度下预防性喷洒甲霜灵有效管理，随后在疾病初期使用0.3%的氟菌唑或二甲霜灵。在系统性杀菌剂施用后七天，再次喷洒0.25%的甲霜灵。 ,https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/22.jpg
23,土豆:健康,许多土豆需要持续的水分水平以便发育，因此在块茎建立时要定期浇水，最好每天浇水。当你给土豆植物浇水时，水应该达到约8-10英寸的土壤深度。在炎热或温暖的季节，土豆植物需要大量浇水，每天浇水两次，因为土壤很快会变干。,"富含营养。分享在Pinterest上。
含有抗氧化剂。土豆富含类黄酮、类胡萝卜素和酚酸等化合物（4）。
可能改善血糖控制。
可能改善消化健康。
天然无麸质。
极具饱腹感。
极其多功能。",https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/can-you-eat-potato-leaves.jpg
24,覆盆子:健康,每周浇水一英寸，从春季直到收获后。定期浇水比不定期的深层浇水要好。通过挖掉任何“萌芽”来保持你的覆盆子灌木整洁。或者远离行生长的“茎”；如果你不挖掉它们，它们会吸收养分，导致明年果实减少。,它们提供钾，对心脏功能至关重要，并已被证明可以降低血压。覆盆子中的ω-3脂肪酸有助于预防中风和心脏病。它们还含有一种叫锰的矿物质，这对健康的骨骼和皮肤是必要的，并有助于调节血糖。,https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/24.jpg
25,大豆:健康,在大豆出土之前，保持种植床均匀湿润。在开花和荚果形成期间定期浇水。避免 overhead 浇水，这可能导致花和荚果掉落。当土壤温度超过60°F (16°C) 时，覆盖 mulch 以保持土壤湿润。,"高纤维
高蛋白
低饱和脂肪
无胆固醇
无乳糖
是ω-3脂肪酸的良好来源
是抗氧化剂的来源
高植物雌激素。",https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/25.jpg
26,南瓜:白粉病,"白色粉状斑点可以在叶子的上下表面形成，并迅速扩展成大斑块。
白粉病削弱植物，导致果实过早成熟。感染植物上结出的果实更少且更小。
在温暖、干燥的条件下，新孢子形成并容易传播疾病。
在明尼苏达州，白粉病的症状通常在夏季中后期首次出现。
通过适当的间距、支撑植物和控制杂草来提供良好的空气流通。
如果在过去白粉病导致产量损失的地区种植了易感品种，可能需要使用杀真菌剂。",将一汤匙小苏打和半茶匙液体非洗涤剂肥皂与一加仑水混合，并将混合物大量喷洒在植物上。漱口水。您每天使用的漱口水可以有效杀死口腔中的细菌，也可以有效杀死白粉病孢子。,https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/powdery-mildew-2.jpg
27,草莓:叶烧,叶烧的症状与常见（Mycosphaerella）叶斑病的早期阶段非常相似，叶片上表面散布着不规则的深紫色斑点。随着斑点的扩大，它们开始看起来像沥青滴，实际上是该真菌的黑色果实体（小孢子囊）的积累。斑点的中心保持紫色（在Mycosphaerella叶斑病中则为白色），且没有明显的病变边界。在严重感染的情况下，这些区域会融合，病变之间的组织通常呈现紫色到亮红色，这取决于品种、温度或其他因素。叶子最终变成棕色，干枯，并在边缘卷曲，给叶子带来烧焦的外观。检查小孢子囊和分生孢子的形态可以帮助在疾病的这一晚期阶段区分叶斑病和叶烧。在叶焦病损伤的上表面，黑色的小孢子囊上有闪亮的孢子团和黑色的子囊果。叶柄病变呈长条状，凹陷，颜色为紫褐色，可能通过环绕叶柄而导致叶片死亡。匍匐茎、果梗、果实和果帽也可能受到感染。植物可能变得虚弱，冠的数量和活力减少。感染使植物容易受到冬季和干旱的压力。在严重的感染情况下，花和果实可能会死亡。,虽然草莓植物上的叶焦病可能令人沮丧，但家庭园丁可以采取一些策略来帮助防止其在花园中的传播。草莓叶焦病控制的主要手段应始终是预防。由于这种真菌病原体在感染植物的落叶上越冬，因此适当的园艺卫生至关重要。这包括清除草莓园中的感染植物残骸，以及频繁建立新的草莓移植。新种植和草莓园的创建是维持稳定草莓收成的关键，因为老植物更容易出现严重感染的迹象。,https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/17531_IMG_2126.jpg
28,草莓:健康,"为它们找到一个阳光明媚的地方，因为它们喜欢并需要大量的光照。我更喜欢让它们接受早晨的阳光。
如果你把它们放在花盆或其他容器中，白天移动它们以利用变化的阳光是个好主意。
它们是需要水的植物。每天给它们浇水，特别是在它们结果时。最好在早晨浇水，并避免湿润叶子以预防疾病。
保护它们免受极端天气和风的影响。请注意，即使它们喜欢阳光，暴露在正午的直射阳光下也可能造成伤害。
检查花盆是否有良好的排水。
保持杂草和不需要的植物的控制。
你需要给它们施肥，因为它们需要大量的能量来生产草莓。购买一种平衡肥料（10-10-10，12-12-12等）。遵循说明，因为过多的肥料会降低果实产量，并且可能还会刺激匍匐茎的产生。","草莓心形的轮廓是这种水果对你有益的第一个线索。这些强效的小包裹保护你的心脏，增加 HDL（好）胆固醇，降低血压，并防止癌症。
草莓富含维生素、纤维，尤其是高水平的抗氧化剂，称为多酚，是一种无钠、无脂肪、无胆固醇、低热量的食物。它们是抗氧化能力排名前20的水果之一，也是锰和钾的良好来源。仅一份——大约八颗草莓——提供的维生素 C 比一个橙子还要多。",https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/28.jpg
29,番茄:细菌斑点,番茄的细菌斑点是一种潜在的毁灭性疾病，在严重情况下，可能导致果实无法上市，甚至导致植物死亡。 细菌斑点可以在任何种植番茄的地方发生，但在温暖潮湿的气候以及温室中最为常见。 该疾病在威斯康星州常常成为一个问题。细菌斑点可以影响番茄植物的所有地上部分，包括叶子、茎和果实。 细菌斑点在叶子上表现为小（小于 ? 英寸）、有时呈水浸状（即湿润外观）的圆形区域。 斑点最初可能是黄绿色的，但随着时间的推移会变成棕红色。当疾病严重时，广泛的叶子变黄和叶子脱落也可能发生。 在绿色果实上，斑点通常小而隆起，呈水泡状，并可能有黄色光环。 随着果实成熟，斑点增大（达到最大尺寸 ? 英寸）并变成棕色、结痂和粗糙。 成熟的斑点可能是隆起的，或者是凹陷的并带有隆起的边缘。,使用无病原体的种子或移植苗，以防止通过受污染的种子或幼苗引入细菌斑点病原体。 如果没有干净的种子来源，或者你怀疑种子被污染，可以将种子浸泡在122华氏度的水中25分钟，以杀死病原体。 为了保持叶片干燥并防止病原体传播，避免对已建立的植物进行头顶浇水（例如，使用喷嘴或喷头），而应使用滴灌带或浸泡软管。 同样为了防止传播，切勿在植物潮湿时（例如，露水）处理植物，并定期用10%的漂白水溶液或（更好）70%的酒精（例如，擦拭酒精）消毒工具。 在细菌斑点病反复出现的地方，考虑在温暖潮湿的时期使用注册用于番茄的铜基产品进行预防性喷洒。 然而，请记住，如果过度或长时间使用，铜可能无法再控制该疾病。 请务必阅读并遵循您选择的产品的所有标签说明，以确保您以最安全和最有效的方式使用它。,https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/bacterial_spot_tomato.jpg
30,番茄:早期枯萎病,"早期枯萎病是最常见的番茄病害之一，几乎每个生长番茄的季节都会发生。
它影响叶子、水果和茎，并且在使用易感品种和天气条件有利时，可能会严重限制产量。
严重的落叶可能会发生，并导致果实日灼
早期枯萎病在明尼苏达州的田间和高拱棚番茄生产中都很常见。
",修剪或用木桩固定植物，以改善空气流通，减少真菌问题。每次修剪后，一定要对修剪剪进行消毒（1份漂白剂兑4份水）。保持植物下的土壤清洁，没有花园垃圾。加一层有机堆肥，防止孢子溅回植被上。滴灌和浸泡软管可用于帮助保持树叶干燥。为了达到最佳控制效果，在疾病通常出现前两周或天气预报预测将有长时间的潮湿天气时，尽早使用铜基杀菌剂。或者，在疾病首次出现时开始治疗，并根据需要每7-10天重复一次。Bonide?花园粉尘含有铜和除虫菊酯，是一种安全的一步控制方法，可以解决许多昆虫攻击和真菌问题。为了获得最佳效果，用均匀的薄膜或灰尘覆盖叶子的顶部和底部。根据树叶密度，10盎司将覆盖625平方英尺。根据需要，每7-10天重复一次。,https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/early-blight-leaf-tomato.jpg
31,番茄:晚疫病,"晚疫病是由卵菌 Phytophthora infestans 引起的。卵菌是一种类真菌的生物，也被称为水霉，但它们并不是真正的真菌。
P. infestans 有许多不同的菌株。这些被称为克隆谱系，并用数字代码（例如 US-23）标识。许多克隆谱系同时影响番茄和土豆，但有些谱系特定于某一宿主。晚疫病是番茄和土豆的一种潜在毁灭性疾病，感染番茄植物的叶子、茎和果实。该疾病在田间迅速传播，如果不加以控制，可能导致完全的作物失败。土豆的晚疫病导致了19世纪40年代末的爱尔兰土豆饥荒。",卫生是控制番茄晚疫病的第一步。清理花园区域内的所有残骸和落果。这在温暖地区尤为重要，因为在这些地方，延长的冰冻天气不太可能发生，晚疫病可能在落果中越冬。目前没有任何番茄品种对晚疫病具有抗性，因此植物应至少每周检查两次。由于晚疫病症状在潮湿条件下更容易出现，因此在这些时期应更加小心。对于家庭园丁，含有美克、锰锌、氯噻吨或固定铜的杀真菌剂可以帮助保护植物免受晚疫病的侵害。在整个生长季节中需要重复施用，因为该病可以在任何时候发生。对于有机园丁，有一些固定铜产品获得批准使用；否则，所有感染的植物必须立即移除并销毁。,https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/31.jpg
32,番茄:叶霉,"番茄叶霉是一种真菌性疾病，当叶片长时间潮湿且相对湿度高（超过85%）时可能会发展。由于这种湿度要求，该病主要在温室和大棚中出现。番茄叶霉在早春温度（50.9华氏度）或夏季特征温度（90华氏度）下可能会发展。番茄叶霉的最佳温度在低70华氏度。
该病的症状包括上叶表面的黄色斑点。受影响叶片的背面可以看到离散的橄榄绿色孢子团。",在用杀真菌剂处理番茄植物时，务必覆盖植物土壤以上的所有区域，特别是叶子的背面，因为疾病通常在这里形成。推荐使用氯化钙喷雾来处理叶霉问题。有机杀真菌剂选项也可用。,https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/32.jpg
33,番茄:斑点病,斑点病是由真菌Septoria lycopersici引起的。这是番茄叶片最具破坏性的疾病之一，特别是在潮湿天气持续较长时间的地区。斑点病通常在第一次结果后出现在下部叶片上。斑点呈圆形，直径约为1/16到1/4英寸，边缘为深棕色，中心为淡棕色到灰色，并带有小黑色果实结构。特征上，每片叶子上有许多斑点。这种病害从最老的生长向上蔓延到最年轻的生长。如果叶片病斑数量众多，叶子会稍微变黄，然后变棕，最后枯萎。果实感染很少见。,"去除病叶。
改善植物周围的空气流通。
在植物基部覆盖 mulch。覆盖 mulch 可以减少溅起的土壤，这些土壤可能含有与残骸相关的真菌孢子。在土壤变暖后施加 mulch。
不要使用 overhead watering。Overhead watering 促进感染并传播疾病。在植物基部使用浸泡软管，以保持叶片干燥。早晨浇水。
控制杂草。夜shade 和 horsenettle 常常是斑点病的宿主，应在花园周围根除。
使用轮作。明年不要在生病的番茄生长过的同一地点种植番茄。在这些地区重新种植番茄前请等待1至2年。
使用杀真菌喷雾。",https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/Septoria_Leaf_Spot_of_Tomato187.jpg
34,番茄:蜘蛛螨 | 双斑蜘蛛螨,双斑蜘蛛螨是新英格兰地区攻击蔬菜和水果作物的最常见螨类物种。蜘蛛螨可以出现在番茄、茄子、土豆、瓜类作物如甜瓜、黄瓜及其他作物中。双斑蜘蛛螨是茄子最重要的害虫之一。它们每年可繁殖多达20代，喜欢过量氮和干燥多尘的环境。爆发通常是由于使用广谱杀虫剂，这会干扰许多自然敌害，从而帮助管理螨类种群。与大多数害虫一样，早期发现问题将意味着更容易控制。,"避免杂草丛生的田地，不要在豆科饲料作物旁边种植茄子。
避免在早季对其他害虫进行广谱杀虫剂喷洒。
不要过量施肥。
顶部灌溉或长时间的降雨可以帮助减少种群。",https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/310a.jpg
35,番茄:目标斑点,"该病从老叶开始，并向上蔓延。最初的迹象是不规则形状的斑点（小于1毫米），边缘呈黄色。一些斑点扩大到10毫米，并显示出特征环，因此得名“目标斑点”。斑点迅速传播到所有小叶和其他叶片，导致叶片变黄、崩溃并死亡。茎上也会出现斑点。它们细长且狭窄。果实上也可能出现小的浅棕色斑点，边缘较暗。
孢子通过风吹雨传播，如果连续几天有多风的潮湿天气，传播速度很快，植物会迅速失去叶子。","文化控制非常重要。应采取以下措施:
不要在有病的老作物旁边种植新作物。
尽量远离木瓜种植，特别是如果叶子上有小的角状斑点（照片5）。
检查所有苗圃中的幼苗，丢弃任何有叶斑的幼苗。
从植物的下部去除几根枝条，以便在基部提供更好的气流。
一旦发现疾病，立即去除并焚烧下部叶片，特别是在下部果串被采摘后。
保持地块无杂草，因为一些杂草可能是真菌的宿主。
不要使用顶部灌溉；否则，会创造孢子产生和感染的条件。
在收获完成后，尽可能多地收集并焚烧作物。
实行轮作，留出3年时间再在同一土地上重新种植番茄。",https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/Target-Spot-Tomato1.jpg
36,番茄:黄叶卷曲病毒,番茄黄叶卷曲病毒是双子叶植物病毒科（Geminiviridae）中的一种，属于贝戈病毒属（Begomovirus）。番茄黄叶卷曲病毒（TYLCV）感染会导致番茄植物出现严重症状，并在全球范围内造成严重的产量损失。TYLCV由甘蔗白蝇（Bemisia tabaci (Gennadius)）持续传播。种植具有单一或少数抗TYLCV基因的品种和杂交种，通常可以减轻TYLCV引起的损失。这些抗性基因型（品种或杂交种）并不对TYLCV免疫。它们通常会发展系统性感染，表现出轻微症状，并在TYLCV压力下比易感基因型生产更多可销售的番茄。在多个病原系统中，广泛使用具有单一显性抗性基因的抗性品种导致了对病毒的强烈选择压力，发展出高度致病的病毒株，并导致抗性崩溃。,仅使用无病毒和无白蝇的番茄和辣椒移植苗。移植苗应使用Capture（噻虫嗪）或Venom（氟虫腈）处理白蝴蝶成虫，使用Oberon处理卵和若虫。在运输前至少七天，应在移植房中使用噻虫嗪或噻虫嗪。应在整个植物上喷洒噻虫嗪，并喷洒在叶子下面；卵和成虫通常在叶子下面发现。每14-21天喷洒一次，并每月轮换使用阿维菌素，以防止白蝴蝶对化学药剂产生抗药性。,https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/10609.jpg
37,番茄:花叶病毒,"番茄花叶病毒 (ToMV) 和烟草花叶病毒 (TMV) 很难区分。
番茄花叶病毒 (ToMV) 会导致番茄植株黄化和矮化，从而导致损失和减产。
ToMV 可能导致果实成熟不均，进一步减少产量。
烟草花叶病毒 (TMV) 曾被认为在番茄上更为常见。
烟草花叶病毒通常是烟草病原体，而不是番茄病原体。叶片上出现浅绿色和深绿色的斑驳。
年轻的番茄叶片呈现浅绿色和深绿色的斑驳，生长受阻，叶片卷曲和畸形。
烟草花叶病毒在番茄幼苗上的症状
如果植物在早期感染，它们可能整体呈现黄色和生长受阻。
叶片可能卷曲、畸形或缩小。","使用经过认证的无病种子或处理自己的种子。
将种子浸泡在10%的磷酸三钠(Na3PO4)溶液中至少15分钟。
或者将干种子加热至158华氏度，并在该温度下保持两到四天。
仅从信誉良好的来源购买移植苗。询问他们用于预防疾病的卫生程序。
在购买前检查移植苗。仅选择没有明显症状的移植苗。
避免在有番茄根部残留物的田地中种植，因为病毒可以在根部长期存活。
在处理植物之前和期间用肥皂和水洗手，以减少植物之间潜在的传播。",https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/37.png
38,番茄:健康,在种植前一周以及种植当天施肥。它们特别喜欢磷，这促进了花朵和从中生长的水果或蔬菜的形成。当你的番茄植物开花时，避免高氮肥料，因为它促进藤蔓生长而不是果实生长。不要拥挤番茄幼苗。提供充足的光照。预热花园土壤。埋入茎部。土壤变暖后给番茄覆盖 mulch。去除底部叶子。修剪和捏合以获得更多番茄。定期浇水。,"番茄（Solanum lycopersicum）是来自南美的茄科植物的果实。
尽管在植物学上被视为水果，但它通常像蔬菜一样食用和准备。
番茄是抗氧化剂番茄红素的主要饮食来源，已与许多健康益处相关，包括降低心脏病和癌症的风险。
它们也是维生素C、钾、叶酸和维生素K的良好来源。",https://yezhiaigc.oss-cn-guangzhou.aliyuncs.com/leaf/38.jpg
